Source,Element,Concentration mg/L,Unnamed: 4,Unnamed: 5,Unnamed: 6
https://echo.epa.gov/trends/loading-tool/water-pollution-search_SD0025852,TDS,12484.146452018798,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_AK0049514,TDS,9333.578534254415,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_AZ0024350,TDS,8833.3409405367,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_SD0026905,TDS,7413.139918205937,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_CO0022756,TDS,7222.422781008284,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_AK0050571,TDS,6250.751168200237,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_MI0000094,TDS,6225.5047765667205,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_CO0037206,TDS,5717.079183420279,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_CO0035394,TDS,5539.777509365892,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_CO0000248,TDS,4905.720321272348,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_ID0028321,TDS,3944.8967604493077,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_CO0000003,TDS,3931.891825013654,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_NV0022268,TDS,3668.190977370104,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_MI0006114,TDS,3477.6458078741534,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_MN0031879,TDS,2930.0221374687885,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_CO0048952,TDS,2380.965227679026,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_CO0001244,TDS,1035.07768690314,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_AK0053341,TDS,479.223584082066,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_AZ0020401,TDS,261.92257898184465,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_MI0058649,TDS,237.91647251322635,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_SC0040479,S,4.92663562346684,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_CO0048119,SO4,30476.41096080541,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_AR0000582,SO4,15356.914046583881,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_CO0038954,SO4,14720.424850659236,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_CO0024562,SO4,13777.542490545924,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_MN0046981,SO4,13317.426127822553,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_MI0058649,SO4,11906.777026244003,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_NY0001791,SO4,11597.900874472205,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_MO0098752,SO4,11055.254549290608,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_MO0002003,SO4,9019.487870134413,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_SD0026883,SO4,8790.83348603887,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_COR040284,SO4,8186.777365281083,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_MO0000574,SO4,5860.210472347743,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_MO0001121,SO4,5203.707705914561,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_MO0001848,SO4,4858.739304300163,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_MN0055948,SO4,3956.071814592561,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_MN0031879,SO4,3304.9028600621327,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_AK0050571,SO4,1522.35083353695,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_CO0038334,SO4,1155.1146071773187,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_NV0022268,SO4,940.6454711768916,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_MI0038369,SO4,924.3735756541555,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_MT0030279,SO4,596.8863163549154,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_ID0028321,SO4,382.2300028570193,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_MI0000094,SO4,312.56475155626345,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_AK0053341,SO4,202.9408643692178,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_MN0055301,SO4,196.89472128804795,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_CO0001244,SO4,44.9980828611123,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_MI0058649,Sr,3.019824411941506,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_CO0048119,Na,4893.745693456065,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_CO0024562,Na,948.8367571632299,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_SD0026883,Na,762.9758425618813,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_NV0022268,Na,494.7980399264655,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_MN0055301,Na,284.3748111596,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_IDG910007,Ag,0.016647836917796338,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_MI0006114,Ag,0.0050058770674853035,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_CO0046931,Ag,0.003417250724013254,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_CO0038954,Ag,0.0008533345127728688,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_MO0000574,Ag,5.693893980810057e-05,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_TN0029157,Se,0.847862985998927,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_UT0000051,Se,0.5630289000195519,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_AR0000582,Se,0.18811410058363984,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_AK0049514,Se,0.09730752088307607,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_GA0050247,Se,0.057773723994832694,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_NV0022268,Se,0.04630462938248213,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_AK0038652,Se,0.044415841125742345,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_SD0025933,Se,0.022853610545662203,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_CO0048952,Se,0.021043324864199263,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_IDG910007,Se,0.021004421780074983,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_SD0026905,Se,0.01837329980963244,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_SD0026883,Se,0.017546038606466145,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_MO0001121,Se,0.014329435211686961,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_CO0046931,Se,0.013604505163445326,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_CO0043168,Se,0.010749262003715537,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_ID0028321,Se,0.008004225042798288,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_CO0038334,Se,0.006285414569261107,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_MO0000574,Se,0.006014265199153965,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_MN0055948,Se,0.003378878564398981,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_CO0000248,Se,0.0028188119422167483,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_AK0050571,Se,0.0012131979302116229,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_AK0053341,Se,0.0008682770423930914,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_MI0038369,Se,0.0006035571418518452,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_AZ0000035,Se,0.00036531318883551263,,,
